tamanho: 10
tamanho: 18
Tempo: 13.212154s, Frequência: 301.17Hz, Nota: 4, Amplitude: 137.88
Tempo: 13.235374s, Frequência: 215.12Hz, Nota: 1, Amplitude: 173.85
Tempo: 13.258594s, Frequência: 129.07Hz, Nota: 3, Amplitude: 139.63
Tempo: 13.281814s, Frequência: 129.07Hz, Nota: 3, Amplitude: 259.31
Tempo: 13.305034s, Frequência: 129.07Hz, Nota: 3, Amplitude: 314.40
Tempo: 13.328254s, Frequência: 107.56Hz, Nota: 1, Amplitude: 318.18
Tempo: 13.351474s, Frequência: 107.56Hz, Nota: 1, Amplitude: 279.40
Tempo: 13.374694s, Frequência: 107.56Hz, Nota: 1, Amplitude: 145.08
Tempo: 13.397914s, Frequência: 86.05Hz, Nota: 5, Amplitude: 103.35
Tempo: 13.421134s, Frequência: 86.05Hz, Nota: 5, Amplitude: 98.86
Tempo: 13.444354s, Frequência: 86.05Hz, Nota: 5, Amplitude: 94.80
Tempo: 13.467574s, Frequência: 86.05Hz, Nota: 5, Amplitude: 85.50
Tempo: 13.490794s, Frequência: 86.05Hz, Nota: 5, Amplitude: 75.94
Tempo: 13.885533s, Frequência: 344.20Hz, Nota: 5, Amplitude: 113.51
Tempo: 13.908753s, Frequência: 322.68Hz, Nota: 5, Amplitude: 298.30
Tempo: 13.931973s, Frequência: 301.17Hz, Nota: 4, Amplitude: 314.62
Tempo: 13.955193s, Frequência: 301.17Hz, Nota: 4, Amplitude: 201.75
Tempo: 13.978413s, Frequência: 301.17Hz, Nota: 4, Amplitude: 155.86

tamanho: 11
Tempo: 14.582132s, Frequência: 301.17Hz, Nota: 4, Amplitude: 147.56
Tempo: 14.605351s, Frequência: 215.12Hz, Nota: 1, Amplitude: 199.99
Tempo: 14.628571s, Frequência: 215.12Hz, Nota: 1, Amplitude: 216.85
Tempo: 14.651791s, Frequência: 129.07Hz, Nota: 3, Amplitude: 222.31
Tempo: 14.675011s, Frequência: 129.07Hz, Nota: 3, Amplitude: 313.78
Tempo: 14.698231s, Frequência: 107.56Hz, Nota: 1, Amplitude: 314.10
Tempo: 14.721451s, Frequência: 107.56Hz, Nota: 1, Amplitude: 292.48
Tempo: 14.744671s, Frequência: 107.56Hz, Nota: 1, Amplitude: 186.01
Tempo: 14.767891s, Frequência: 86.05Hz, Nota: 5, Amplitude: 121.17
Tempo: 14.791111s, Frequência: 86.05Hz, Nota: 5, Amplitude: 108.43
Tempo: 14.814331s, Frequência: 86.05Hz, Nota: 5, Amplitude: 74.99

tamanho: 11
Tempo: 15.255510s, Frequência: 322.68Hz, Nota: 5, Amplitude: 109.54
Tempo: 15.278730s, Frequência: 322.68Hz, Nota: 5, Amplitude: 281.21
Tempo: 15.301950s, Frequência: 301.17Hz, Nota: 4, Amplitude: 353.10
Tempo: 15.325170s, Frequência: 301.17Hz, Nota: 4, Amplitude: 272.22
Tempo: 15.348390s, Frequência: 301.17Hz, Nota: 4, Amplitude: 174.24
Tempo: 15.371610s, Frequência: 301.17Hz, Nota: 4, Amplitude: 164.21
Tempo: 15.394830s, Frequência: 301.17Hz, Nota: 4, Amplitude: 126.40
Tempo: 15.952109s, Frequência: 322.68Hz, Nota: 5, Amplitude: 97.15
Tempo: 15.975329s, Frequência: 301.17Hz, Nota: 4, Amplitude: 173.90
Tempo: 15.975329s, Frequência: 279.66Hz, Nota: 3, Amplitude: 171.66
Tempo: 15.998549s, Frequência: 215.12Hz, Nota: 1, Amplitude: 231.55

tamanho: 18
Tempo: 16.021769s, Frequência: 129.07Hz, Nota: 3, Amplitude: 149.89
Tempo: 16.044989s, Frequência: 129.07Hz, Nota: 3, Amplitude: 276.95
Tempo: 16.068209s, Frequência: 129.07Hz, Nota: 3, Amplitude: 294.03
Tempo: 16.091429s, Frequência: 107.56Hz, Nota: 1, Amplitude: 304.07
Tempo: 16.114649s, Frequência: 107.56Hz, Nota: 1, Amplitude: 238.69
Tempo: 16.137868s, Frequência: 107.56Hz, Nota: 1, Amplitude: 125.18
Tempo: 16.161088s, Frequência: 86.05Hz, Nota: 5, Amplitude: 142.14
Tempo: 16.184308s, Frequência: 86.05Hz, Nota: 5, Amplitude: 159.02
Tempo: 16.207528s, Frequência: 86.05Hz, Nota: 5, Amplitude: 147.84
Tempo: 16.230748s, Frequência: 86.05Hz, Nota: 5, Amplitude: 122.17
Tempo: 16.253968s, Frequência: 86.05Hz, Nota: 5, Amplitude: 98.60
Tempo: 16.277188s, Frequência: 86.05Hz, Nota: 5, Amplitude: 80.40
